ab/bauen "Vt 拆卸; 降低; 开矿; 分解"
Abbau "m, 降低; 分解"
Ackerbau "m 耕作; 农艺; 农业"
an/bauen "1.Vt 耕种,扩建 2.Vi增添 3.+sich 定居"
Anbau "m, -e 种植, 栽培; 添造, 扩 建"
auf/bauen "1.Vt 建筑, 建设,建立2.+sich 形成 3.Vi +auf D以 ......为 基础"
Aufbau "m, -e/-en 建造, 修造, 重 建; 建设, 建立; 结构, 构造"
Aufbau "m, -ten 建设, 建筑, 结构"
aus/bauen "Vt 拆卸; 扩建"
Ausbau "m, -e 落成; 改建"
bauen "Vt 建造, 制造; 耕种"
Bergbau "m 采矿"
ein/bauen "Vt 嵌入, 装入"
erbauen "1. Vt 建造; 使高兴 2. + sich 感到高兴"
Körperbau "m 体格, 身躯"
Maschinenbau "m, o. Pl 机械制造"
Maulbeerbaum "m 桑树"
Neubau "m, -ten 新建筑物; 新房屋; 重建"
Tannenbaum "m, ⸚e 冷杉; 圣诞树"
um/bauen "Vt/Vi 改建; 改动; 改组"
Wiederaufbau "m 重建"
Zusammenbau "m 装配, 安装"
