ab/brechen "Vt 拆断; 拆除; 中断"
Abrechnung "f, -en 结算; 扣除"
auf/brechen "(bricht auf, brach auf, ist /hat aufgebrochen) 1. Vi 动身 2. Vt 撬开"
aus/brechen "1. Vt 拆下; 注入; 切取 2. Vi 发生;越狱"
brechen "(bricht, brach, hat/ist gebrochen) 1. Vt 折断 2. Vi 断裂, 碎裂 3. Vt 违反, 破坏"
durch/brechen "1. Vt 折断, 打通 2. Vi 折断成两半; 突破"
ein/brechen "1. Vt 撞开; 拆毁 2. Vi 倒塌; 闯入"
Einbrecher "m, - 闯入者, 窃贼, 盗窃犯"
entzwei/brechen "Vt 掰开, 折断"
erbrechen "1. Vt 砸门, 吐出 2. + sich 呕吐"
unterbrechen "Vt (unterbricht, unterbrach, unterbrochen) 中断, 暂停; 打断某人说话"
Unterbrechung "f, -en 中断"
unzerbrechlich "Adj 不能打碎的, 不能破坏的"
Verbrechen "n, - 罪行"
Verbrecher "m, - 罪犯"
zerbrechen "Vt/Vi (zerbricht, zerbrach, ist/hat zerbrochen) 打碎, 打破; sich den Kopf zerbrechen 绞尽脑汁"
zusammen/brechen "Vi + über D 倒塌, 垮台"
