ab/fahren "(fährt ab, fuhr ab, ist abgefahren) 车驶出, 出发"
Abfahrt "f, -en 出发, 驶出"
Aufbereitungsverfahren "n 制备方 法, 制造工艺"
Ausfahrt "f, -en (车辆等的)驶出 (口); (乘车)出发"
Autofahrer "m, - 汽车司机"
Berufserfahrung "f 职业经验"
Boot "n, -e 小船, 艇， Boot fahren 划船"
davon/fahren "Vi 离开"
ein/fahren "Vi 驶入"
Einfahrt "f, -en 1. 入口 2. o. Pl 驶入"
Eisenbahnfahrt "f, -en 乘火车"
Elektrofahrzeug "n 电力运输车"
erfahren "Vt (erfährt, erfuhr, erfahren) 得知, 获悉"
Erfahrung "f, -en 经验"
erfahrungsgemäß "Adj 凭经验的"
fahren "(fährt, fuhr, ist/hat gefahren) 1. Vi 搭乘, 行驶 2. Vt 驾驶 3. Vt 运输, 载送"
Fertigungsverfahren "n 加工方法"
fort/fahren "Vi (fährt fort, fuhr fort, ist fortgefahren) (乘车、船等)离去, 继续"
Gefahr "f, -en 危险, 危急"
hinfahren "1. Vi 驶进, 开进, 乘车进入 2. Vt 把...驶进"
Kraftfahrer "m, - 汽车司机"
Kraftfahrzeug "n, -e 机动车, 汽车"
Luftfahrt "f 航空(学); 飞行"
mitfahren "Vi 一起乘车(船)"
Motorradfahren "m 骑摩托车者"
rad/fahren "Vi 骑自行车"
Radfahrer "m, - 骑自行车的人"
Raumfahrt "f, -en 航天, 宇航, 宇航学"
Rennfahrer "m, - 赛车手"
Rundfahrt "f, -en (乘车)周游, 环行"
schwarz/fahren "Vi 无执照驾驶; 无票乘车"
überfahren "(überfährt, überfuhr, hat überfahren)Vt 开车压过; 闯过"
Verfahren "n, - 处理方法, 操作方法"
Vorfahr "m, -en 祖先"
Vorfahrt "f, 优先行驶"
weg/fahren "Vi 驶去, 开出; 到别处去"
zu/fahren "Vt 驶向"
