ab/legen "Vt 放下; 脱衣(帽)； eine Prüfung ablegen 参加一次考 试"
an/legen "1. Vt 安放; 建立; 添放, 添 加 2. Vi 停泊, 靠岸"
Angelegenheit "f, -en 事情, 事务"
auf/erlegen "Vt 让某人接受某 事,让某人承担"
auf/legen "1.Vt 平放到某物之上; 出版, 停止使用 2.+sich 把胳膊放在桌子上"
aus/legen "1. Vt 摆出, 铺设; 解释 2. Vi 变胖"
bei/legen "Vt 附加; 调停; 赋予"
Beleg "m, -e 证据, 证明; 引证的出处"
belegen "Vt 1. (mit) (以...)铺, 涂, 盖 2. 预定, 占用; 3. 证明, 证实"
Belegschaft "f, -en 全体职工"
dar/legen "Vt 解释, 说明, 陈述"
Darlegung "f, -en 表演; 节目; 提供"
Delegation "f, -en 代表团"
Delegierte "f/m (dekl. wie Adj) 代表"
ein/legen "Vt 插入, 存入; 提出"
elegant "Adj 衣着时髦的; 完美的"
Eleganz "f 雅致; 高尚; 优点"
entlegen "Adj 偏僻的, 遥远的"
fest/legen "Vt 规定, 确定"
Gelegenheit "f, -en 机会, 场合"
gelegentlich "Adj/Adv 偶尔, 有机会时; 附带"
grundlegend "Adj 基本的, 根本的; 基础的"
hinlegen "1. Vt 放下, 搁下; 支付; 表演 2. + sich 躺下, 卧倒"
illegal "Adj 非法的"
lahmlegen "Vt 使停顿"
legal "Adj 法律的, 合法的"
legen "1. Vt 横放, 平放 2. + sich 卧倒"
legieren "Vt 制成合金"
legitim "Adj 合法的; 正统的"
legitimieren "Vt 确认...合法"
liegen "Vi (liegt, lag, gelegen) 平放着; 躺, 卧; 位于"
nahelegen "Vi 建议; 劝告; 提议"
niederlegen "Vt 放下; 存放; 拆除"
Pflege "f, -n 照顾; 养育; 保养"
pflegen "1.Vt 照料, 保护 2. + zu 习惯于"
Privileg "n, -ien 特权, 特许, 优惠"
still/legen "Vt 停止; 中断"
Telegramm "n, -e 电报"
telegraphieren "Vt/Vi 拍电报"
überlegen "Adj 占优势的, 在......上优越的"
überlegen "Vt/Vi 考虑"
Überlegenheit "f 优势, 卓越"
Überlegung "f, -en 考虑"
unterlegen "Adj 下属的; 把......放在下面"
verlegen "Adj 尴尬的, 狼狈的"
Verlegenheit "f 窘迫; 狼狈"
Verleger "m 出版者"
verpflegen "Vt 供给......膳食,提供食品"
Verpflegung "f 伙食; 供养"
vor/legen "Vt 展示"
Wert "m, -e 价值; 意义, 重要性； großen Wert auf A legen 重视......"
widerlegen "Vt 驳斥"
zerlegen "Vt 分解, 分析; 拆开"
zurück/legen "Vt 走过(路程)；放回, 留存"
zusammen/legen "Vt/Vi 堆集; 折叠"
