ab/nehmen "Vt (nimmt ab, nahm ab, abgenommen) 取下, 减少, 变瘦, 减轻体重"
Abschied "m, -e 离别, 告别 Abschied von jdm. nehmen 与 ......告别"
an/nehmen "Vt (nimmt an, nahm an, angenommen) 接受; 假定, 认为"
angenehm "Adj 令人愉快的, 舒适 的"
Anspruch "m, ⸚e 要求 etw. in Anspruch nehmen 占用,花费(时间等)"
Arbeitnehmer "m, - 雇员, 工人"
auf/nehmen "Vt (nimmt auf, nahm auf, aufgenommen) 接待; 吸收, 接 纳; 容纳; 拍摄; 降 ......录音, 录像"
ausnehmend "Adj 格外的"
Benehmen "n 举止, 态度"
benehmen "vt 夺走，+sich 行为， 举止"
Besitz "m, -e 所有, 占有; 财产； im Besitz von etw. sein 获得, 拥有某物， etw. in Besitz nehmen 占有某物"
Betrieb "m, -e 企业; 生产, 运行, 运转; 热闹, 忙碌 außer Betrieb sein 停产 ， in Betrieb nehmen / setzen 投产"
ein/nehmen "Vt (nimmt ein, nahm ein, eingenommen 吃, 服用(药); 收入; 占有(空间)"
Einvernehmen "n 融洽; 意见一致"
entgegennehmen "Vt 接受, 听取"
entnehmen "Vt 取出,提取, 摘引, 推断出"
fest/nehmen "Vt 拘留, 逮捕"
gefangennehmen "Vt 捕获; 使...着迷"
genehmigen "Vt 批准"
Genehmigung "f, -en 许可(证)"
Großunternehmen "n, - 大企业"
hinnehmen "Vt 接受; 忍受; 使入迷"
Kenntnis "f, -se 1. Pl 知识 2. o. Pl 认识, 了解； etw. zur Kenntnis nehmen 得悉"
mitnehmen "Vt (nimmt mit, nahm mit, mitgenommen) 带来, 携带(作礼物)带给, 送来"
nehmen "Vt (nimmt, nahm, genommen) 拿, 取"
Platz "m, ⸚e 地方, 场所; 广场; 座位; 职位； Platz nehmen 就座"
Rücksicht "f, o. Pl 考虑, 顾忌; Rücksicht auf A nehmen 顾及, 照顾, 考虑"
teil/nehmen "Vi ( + an D ) (nimmt teil, nahm teil, teilgenommen) 参加"
Teilnehmer "m, - 参加者"
übernehmen "Vt (übernimmt, übernahm, übernommen) 接受, 承担"
unangenehm "Adj 令人不快的, 讨厌的"
Unternehmen "n, - 行动; 计划; 企业"
unternehmen "Vt (unternimmt, unternahm, unternommen) 着手, 从事, 作"
Unternehmer "m, - 企业家"
Unternehmung "f, -en 企业事业; 行动, 计划"
vernehmen "Vt 听闻; 审讯"
Vernehmung "f, -en 审问, 审讯"
vornehm "Adj 高贵的"
vor/nehmen "从事；+ sich 着手做......, 打算......"
Vornehmheit "f 尊贵, 高贵, 高尚, 上等"
vornehmlich "Adv 主要地; 尤其; 首先"
vorweg/nehmen "Vt 先说, 抢先"
wahr/nehmen "Vt 发觉; 感知，利用"
Wahrnehmung "f, -en 知觉, 感觉"
weg/nehmen "Vt 拿走, 挪开; 切除"
wiederaufnehmen "Vt 恢复, 重新开始, 重新接收"
zu/nehmen "Vi (nimmt zu, nahm zu, zugenommen) 增加, 增多; 体重增加"
zunehmend "Adj 增加的, 增长的"
zurück/nehmen "Vt 领回, 撤回"
zusammen/nehmen "Vt/+ sich 集中, 总括"
