ab/reisen "(s.) Vi 动身, 出发"
Abreise "f, o. Pl 启程, 动身, 行期"
Anreise "f, -n (到某地的)旅行; 到达"
Ausreise "f, -n 出国旅行, 出境"
ein/kreisen "Vt 包围, 划圈"
Forschungsreise "f, -n 科研旅行"
Geschäftsreise "f, 出差, 公差"
Greis "m, -e 老人"
Kreis "m, -e 圈, 圈子; 范围; 县, 区"
Kreisel "m, - 陀螺"
kreisen "盘旋, 循环"
Kreislauf "m 循环(运动); (血液)循环"
Kreislauf "m, ⸚e 循环(运动)"
Nobelpreisträger "m, - 诺贝尔奖金获得者"
Preis "m, -e 价格, 奖(赏)"
preisen "Vt 表扬, 赞扬"
preisgeben "Vt/ + sich 放弃; 透露"
preiswert "Adj 价廉物美的, 便宜的"
reisen 旅行
Schleuderpreis "m, -e 抛售价"
Teufelskreis "m, -e 怪圈, 恶性循环"
Umkreis "m, -e 周期"
umkreisen "Vt 饶......而行"
um/kreisen "Vt 围绕......走, 环绕......行驶"
verreisen "Vi 出外旅行"
