ab/rufen "调出, 提取"
an/rufen "(ruft an, rief an, angerufen) 1.(+bei) 打电话(给 ......) 2.Vt 给 ...... 打电话"
Anruf "m, -e 通(电)话"
auf/rufen "Vt 呼喊, 点名"
Aufruf "m, -e 号召; 点名"
aus/rufen "Vt 喊出; 宣告"
Beruf "m, -e 职业"
berufen "1. Vt 召唤, 任命 2. + sich + auf A 引证, 引用"
beruflich "Adj 职业上的, 业务上的"
Berufsarbeit "f, -en 职业工作, 专业工作"
Berufsausbildung "f 职业教育"
Berufsaussicht "f, -en 就业前景"
Berufserfahrung "f 职业经验"
Berufsfachschule "f 职业中专"
berufstätig "Adj 在职的, 有职业的"
Berufung "f, -en 任命; 召唤, 召集; 使命"
ein/berufen "Vt (+ zu D) 召集, 征召"
freiberuflich "Adj 自由职业的"
herrufen "Vt 喊过来"
hervorrufen "Vt (ruft hervor, rief hervor, hervorgerufen) 唤出来, 引起, 引起, 招致"
rufen "Vi/Vt (ruft, rief, gerufen) 叫, 喊, 叫来, 唤"
unwiderruflich "Adj 不能更改的"
wach/rufen "Vt 唤醒"
widerrufen "Vt 撤消, 收回"
zu/rufen "Vt 大声告诉"
